municipi,Comarca,Paro registrado (marzo 2015),percentatge
Aiguamúrcia,Alt Camp,76,21.84
Alcover,Alt Camp,403,18.73
Alió,Alt Camp,28,18.04
Bràfim,Alt Camp,42,12
Cabra del Camp,Alt Camp,112,27.13
Figuerola del Camp,Alt Camp,17,17.07
"Garidells, els",Alt Camp,6,7.5
"Masó, la",Alt Camp,12,13.51
"Milà, el",Alt Camp,8,11.11
Mont-ral,Alt Camp,13,27.27
Montferri,Alt Camp,40,29.49
Nulles,Alt Camp,20,9.52
"Pla de Santa Maria, el",Alt Camp,212,20.96
"Pont d'Armentera, el",Alt Camp,45,22.98
Puigpelat,Alt Camp,98,22.4
Querol,Alt Camp,52,29.56
"Riba, la",Alt Camp,27,10.92
Rodonyà,Alt Camp,40,21.03
"Rourell, el",Alt Camp,30,19.25
Vallmoll,Alt Camp,124,17.54
Valls,Alt Camp,2127,17.65
Vila-rodona,Alt Camp,90,15.79
Vilabella,Alt Camp,34,9.84
Agullana,Alt Empordà,45,11.42
Albanyà,Alt Empordà,14,33.33
"Armentera, l'",Alt Empordà,33,10.4
Avinyonet de Puigventós,Alt Empordà,80,10.07
Bàscara,Alt Empordà,51,11.48
Biure,Alt Empordà,13,19.78
Boadella i les Escaules,Alt Empordà,18,10.91
Borrassà,Alt Empordà,27,8.95
Cabanelles,Alt Empordà,19,15.6
Cabanes,Alt Empordà,57,15.61
Cadaqués,Alt Empordà,104,13.79
Cantallops,Alt Empordà,9,10.74
Capmany,Alt Empordà,31,13.88
Castelló d'Empúries,Alt Empordà,851,21.09
Cistella,Alt Empordà,18,9.15
Colera,Alt Empordà,31,20.12
Darnius,Alt Empordà,38,19.02
"Escala, l'",Alt Empordà,704,21.07
Espolla,Alt Empordà,12,5.42
"Far d'Empordà, el",Alt Empordà,32,13.66
Figueres,Alt Empordà,4468,21.33
Fortià,Alt Empordà,29,11.23
Garrigàs,Alt Empordà,15,11.6
Garriguella,Alt Empordà,40,14.41
"Jonquera, la",Alt Empordà,277,16.16
Lladó,Alt Empordà,33,12.65
Llançà,Alt Empordà,324,18.42
Llers,Alt Empordà,52,11.45
Maçanet de Cabrenys,Alt Empordà,36,13.04
Masarac,Alt Empordà,11,10.94
Mollet de Peralada,Alt Empordà,4,10.71
Navata,Alt Empordà,51,11.5
Ordis,Alt Empordà,13,11.36
Palau de Santa Eulàlia,Alt Empordà,1,0
Palau-saverdera,Alt Empordà,70,15.79
Pau,Alt Empordà,24,16.37
Pedret i Marzà,Alt Empordà,10,17.33
Peralada,Alt Empordà,66,8.48
Pont de Molins,Alt Empordà,30,10.79
Pontós,Alt Empordà,11,14.74
"Port de la Selva, el",Alt Empordà,34,13.1
Portbou,Alt Empordà,63,13.99
Rabós,Alt Empordà,6,7.69
Riumors,Alt Empordà,13,13.33
Roses,Alt Empordà,1535,21.87
Sant Climent Sescebes,Alt Empordà,15,10.47
Sant Llorenç de la Muga,Alt Empordà,8,7.23
Sant Miquel de Fluvià,Alt Empordà,96,31.56
Sant Mori,Alt Empordà,10,9.09
Sant Pere Pescador,Alt Empordà,188,20.43
Santa Llogaia d'Àlguema,Alt Empordà,21,12.58
"Saus, Camallera i Llampaies",Alt Empordà,43,13.83
"Selva de Mar, la",Alt Empordà,7,11.43
Siurana,Alt Empordà,3,5.33
Terrades,Alt Empordà,13,12.71
Torroella de Fluvià,Alt Empordà,41,15.3
"Vajol, la",Alt Empordà,9,23.91
Ventalló,Alt Empordà,32,14.24
Vila-sacra,Alt Empordà,22,8.86
Vilabertran,Alt Empordà,44,11.76
Viladamat,Alt Empordà,19,9.5
Vilafant,Alt Empordà,294,11.69
Vilajuïga,Alt Empordà,73,16.53
Vilamacolum,Alt Empordà,14,13.29
Vilamalla,Alt Empordà,69,13.53
Vilamaniscle,Alt Empordà,7,8.96
Vilanant,Alt Empordà,18,12.16
Vilaür,Alt Empordà,6,17.39
Avinyonet del Penedès,Alt Penedès,95,13.76
"Cabanyes, les",Alt Penedès,46,12.05
Castellet i la Gornal,Alt Penedès,161,19.47
Castellví de la Marca,Alt Penedès,108,16.35
Font-rubí,Alt Penedès,76,13.85
Gelida,Alt Penedès,537,17.26
"Granada, la",Alt Penedès,148,15.94
Mediona,Alt Penedès,185,23.4
Olèrdola,Alt Penedès,270,16
Olesa de Bonesvalls,Alt Penedès,133,17.14
Pacs del Penedès,Alt Penedès,59,14.09
"Pla del Penedès, el",Alt Penedès,81,13.68
Pontons,Alt Penedès,50,30.64
Puigdàlber,Alt Penedès,36,13.18
Sant Cugat Sesgarrigues,Alt Penedès,66,11.71
Sant Llorenç d'Hortons,Alt Penedès,146,14.35
Sant Martí Sarroca,Alt Penedès,186,14.81
Sant Pere de Riudebitlles,Alt Penedès,148,14.62
Sant Quintí de Mediona,Alt Penedès,186,18.59
Sant Sadurní d'Anoia,Alt Penedès,748,12.25
Santa Fe del Penedès,Alt Penedès,20,10.23
Santa Margarida i els Monjos,Alt Penedès,653,19.92
Subirats,Alt Penedès,179,13.9
Torrelavit,Alt Penedès,66,12.9
Torrelles de Foix,Alt Penedès,271,29.55
Vilafranca del Penedès,Alt Penedès,3678,19.4
Vilobí del Penedès,Alt Penedès,51,9.88
Alàs i Cerc,Alt Urgell,15,13.16
Arsèguel,Alt Urgell,1,3.57
Bassella,Alt Urgell,4,4.71
Cabó,Alt Urgell,10,23.08
Cava,Alt Urgell,2,27.27
Coll de Nargó,Alt Urgell,26,14.29
Estamariu,Alt Urgell,4,7.69
Fígols i Alinyà,Alt Urgell,5,3.95
Josa i Tuixén,Alt Urgell,3,9.3
Montferrer i Castellbò,Alt Urgell,35,10
Oliana,Alt Urgell,94,10.92
Organyà,Alt Urgell,29,7.73
Peramola,Alt Urgell,6,8
"Pont de Bar, el",Alt Urgell,12,19.15
Ribera d'Urgellet,Alt Urgell,34,13.61
"Seu d'Urgell, la",Alt Urgell,789,16.45
"Valls d'Aguilar, les",Alt Urgell,8,10.96
"Valls de Valira, les",Alt Urgell,34,17.27
"Vansa i Fórnols, la",Alt Urgell,11,18.37
"Pont de Suert, el",Alta Ribagorça,97,10.91
"Vall de Boí, la",Alta Ribagorça,7,2.72
Vilaller,Alta Ribagorça,24,11.92
Argençola,Anoia,12,14.29
Bellprat,Anoia,1,9.09
"Bruc, el",Anoia,115,13.21
Cabrera d'Anoia,Anoia,156,32.7
Calaf,Anoia,306,20.63
Calonge de Segarra,Anoia,6,7
Capellades,Anoia,450,16.73
Carme,Anoia,61,14.87
Castellfollit de Riubregós,Anoia,10,12.05
Castellolí,Anoia,19,7.63
Copons,Anoia,15,10.74
"Hostalets de Pierola, els",Anoia,222,20.04
Igualada,Anoia,3439,19.25
Jorba,Anoia,40,13.41
"Llacuna, la",Anoia,64,14.25
Masquefa,Anoia,729,20.74
Montmaneu,Anoia,2,6.52
Òdena,Anoia,328,21.35
Orpí,Anoia,6,14.29
Piera,Anoia,1571,25.15
"Pobla de Claramunt, la",Anoia,163,17.51
"Prats de Rei, els",Anoia,20,8.62
Pujalt,Anoia,3,4.76
Rubió,Anoia,11,17.54
Sant Martí de Tous,Anoia,49,10.32
Sant Martí Sesgueioles,Anoia,26,19.75
Sant Pere Sallavinera,Anoia,6,11.86
Santa Margarida de Montbui,Anoia,1166,25.48
Santa Maria de Miralles,Anoia,8,14.81
"Torre de Claramunt, la",Anoia,396,24.33
Vallbona d'Anoia,Anoia,102,15.87
Veciana,Anoia,3,6.06
Vilanova del Camí,Anoia,1502,25.22
Aguilar de Segarra,Bages,10,7.92
Artés,Bages,376,16.06
Avinyó,Bages,108,10.81
Balsareny,Bages,235,16.69
Calders,Bages,58,14.07
Callús,Bages,152,18.83
Cardona,Bages,282,14.22
Castellbell i el Vilar,Bages,302,19.06
Castellfollit del Boix,Bages,18,10.32
Castellgalí,Bages,157,21.16
Castellnou de Bages,Bages,60,13.36
"Estany, l'",Bages,17,13.29
Fonollosa,Bages,82,13.68
Gaià,Bages,7,15.49
Manresa,Bages,6639,19.57
Marganell,Bages,16,18.28
Moià,Bages,332,13.64
Monistrol de Calders,Bages,50,15.24
Monistrol de Montserrat,Bages,230,18.01
Mura,Bages,11,16.42
Navarcles,Bages,414,16.08
Navàs,Bages,499,17.82
"Pont de Vilomara i Rocafort, el",Bages,333,19.78
Rajadell,Bages,19,15.43
Sallent,Bages,455,16.21
Sant Feliu Sasserra,Bages,43,15.33
Sant Fruitós de Bages,Bages,590,15.44
Sant Joan de Vilatorrada,Bages,793,16.21
Sant Mateu de Bages,Bages,27,14.65
Sant Salvador de Guardiola,Bages,209,17.61
Sant Vicenç de Castellet,Bages,877,22.81
Santa Maria d'Oló,Bages,43,8.28
Santpedor,Bages,419,13.04
Súria,Bages,397,16.23
Talamanca,Bages,10,29.41
"Albiol, l'",Baix Camp,24,15.69
"Aleixar, l'",Baix Camp,42,12.1
Alforja,Baix Camp,149,19.77
Almoster,Baix Camp,60,10.68
Arbolí,Baix Camp,4,9.09
"Argentera, l'",Baix Camp,5,15
"Borges del Camp, les",Baix Camp,124,15.65
Botarell,Baix Camp,90,18.67
Cambrils,Baix Camp,2661,22.68
Capafonts,Baix Camp,2,10
Castellvell del Camp,Baix Camp,164,12.92
Colldejou,Baix Camp,15,22.39
Duesaigües,Baix Camp,11,14.46
"Febró, la",Baix Camp,3,30
Maspujols,Baix Camp,38,15.53
Mont-roig del Camp,Baix Camp,1072,26.74
Montbrió del Camp,Baix Camp,213,21.1
Prades,Baix Camp,23,11.61
Pratdip,Baix Camp,61,22.61
Reus,Baix Camp,9856,20.72
Riudecanyes,Baix Camp,81,18.84
Riudecols,Baix Camp,73,14.02
Riudoms,Baix Camp,445,15.85
"Selva del Camp, la",Baix Camp,338,13.83
Vandellòs i l'Hospitalet de l'Infant,Baix Camp,412,18.84
Vilanova d'Escornalbou,Baix Camp,45,14.78
Vilaplana,Baix Camp,15,6.41
Vinyols i els Arcs,Baix Camp,107,15.94
"Aldea, l'",Baix Ebre,308,15.48
Aldover,Baix Ebre,49,15.94
Alfara de Carles,Baix Ebre,31,23.48
"Ametlla de Mar, l'",Baix Ebre,474,23.51
"Ampolla, l'",Baix Ebre,216,22.12
Benifallet,Baix Ebre,35,13.33
Camarles,Baix Ebre,260,19.87
Deltebre,Baix Ebre,1081,24.22
Paüls,Baix Ebre,33,14.98
"Perelló, el",Baix Ebre,159,16.54
Roquetes,Baix Ebre,711,18.56
Tivenys,Baix Ebre,50,13.75
Tortosa,Baix Ebre,3149,18.18
Xerta,Baix Ebre,74,15.24
Albons,Baix Empordà,39,15.7
Begur,Baix Empordà,217,17.06
Bellcaire d'Empordà,Baix Empordà,37,13.62
"Bisbal d'Empordà, la",Baix Empordà,1112,22.47
Calonge,Baix Empordà,731,21.93
Castell-Platja d'Aro,Baix Empordà,585,16.92
Colomers,Baix Empordà,5,5.33
Corçà,Baix Empordà,79,13.82
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,75,10.96
Foixà,Baix Empordà,9,9.76
Fontanilles,Baix Empordà,4,9.86
Forallac,Baix Empordà,82,12.24
Garrigoles,Baix Empordà,8,12
Gualta,Baix Empordà,18,14.77
Jafre,Baix Empordà,15,13.5
Mont-ras,Baix Empordà,105,14.74
Palafrugell,Baix Empordà,2099,24.27
Palamós,Baix Empordà,1392,19.77
Palau-sator,Baix Empordà,6,8.09
Pals,Baix Empordà,89,11.49
Parlavà,Baix Empordà,14,10.59
"Pera, la",Baix Empordà,19,9.88
Regencós,Baix Empordà,10,11.65
Rupià,Baix Empordà,5,8.42
Sant Feliu de Guíxols,Baix Empordà,1801,21.07
Santa Cristina d'Aro,Baix Empordà,309,17.3
Serra de Daró,Baix Empordà,5,5.68
