nom,ocupacio,capacitat,any de construccio,lat,lon,municipi,provincia
Centre Penitenciari Brians 2,1540,,2007,41.501344114050376,1.823149199999989,Sant Esteve Sesrovires,Barcelona
Centre Penitenciari Brians 1,1292,1500,1991,41.501344114050376,1.823149199999989,Sant Esteve Sesrovires,Barcelona
Centre Penitenciari d’Homes de Barcelona (La Model),1080,,1904,41.38342541399222,2.1453861999999617,Barcelona,Barcelona
Centre Penitenciari de Dones de Barcelona (Wad-Ras),523,,1983,41.392611213996716,2.1956118000000515,Barcelona,Barcelona
Centre Penitenciari Obert de Girona,101,173,2014 - 2015,42.006305414301856,2.8236473499999875,Girona,Girona
Centre Penitenciari Obert 1 de Barcelona,147,,1991,41.38342541399222,2.1453861999999617,Barcelona,Barcelona
Centre Penitenciari Obert 2 de Barcelona,259,,1984,41.453509214026774,2.1914338999999927,Barcelona,Barcelona
Centre Penitenciari de Tarragona,294,,1950,41.20004801390217,1.60719789999996,Tarragona,Tarragona
Centre Penitenciari Lledoners,759,750,2008,41.755551607289654,1.7227161499999966,Sant Joan de Vilatorrada,Barcelona
Centre Penitenciari de Ponent,739,,1984,41.624010414111105,0.6077336500000001,Lleida,Lleida
Centre Penitenciari Obert de Lleida,168,,2008,41.624010414111105,0.6077336500000001,Lleida,Lleida
Centre Penitenciari Puig de les Basses,691,1018,2014,42.29435180124225,2.9370703374054363,Figueres,Girona
Centre Penitenciari Quatre Camins,1380,,1989,41.593126064095784,2.285750699999994,Roca del Vallès,Barcelona
Centre Penitenciari de Joves,261,450,2008,41.593126064095784,2.285750699999994,La Roca del Vallès,Barcelona
